Main_Info,Extra_Info,Description,Properties
"LADA (VAZ) 2107,1.6 L,2007 il,95 000 km","ŞəhərŞamaxıMarkaLADA (VAZ)Model2107Buraxılış ili2007Ban növüSedanRəngMaviMühərrik1.6 L / 75 a.g. / BenzinYürüş95 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbRusiya - Davamını oxuƏlavə məlumat üçün zəng ele bilərsiz. - Düzəliş etElanı silElanın nömrəsi: 9486735",Əlavə məlumat üçün zəng ele bilərsiz.,,6 300 AZN
"Chevrolet Malibu,1.5 L,2017 il,143 500 km","ŞəhərBakıMarkaChevroletModelMalibuBuraxılış ili2017Ban növüSedanRəngAğMühərrik1.5 L / 160 a.g. / BenzinYürüş143 500 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənibHansı bazar üçün yığılıbAmerika - Davamını oxuMaşının heç bir problemi yoxdur.15 gündür yeni təkərlər alınıb,böyük zavod monitornandır,ön original fiyoletvi patpres qoyulub.Bu gün üçün heç bir rasxodu yoxdur,maşın səliqəlidir,qiymət yerində maşına baxıldıqda razılığa gəlmək olar. - ABSMərkəzi qapanmaKondisionerOturacaqların isidilməsiArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9486745","Maşının heç bir problemi yoxdur.15 gündür yeni təkərlər alınıb,böyük zavod monitornandır,ön original fiyoletvi patpres qoyulub.Bu gün üçün heç bir rasxodu yoxdur,maşın səliqəlidir,qiymət yerində maşına baxıldıqda razılığa gəlmək olar.",ABSMərkəzi qapanmaKondisionerOturacaqların isidilməsiArxa görüntü kamerası,20 950 AZN
"Nissan Note,1.2 L,2020 il,34 000 km","ŞəhərBakıMarkaNissanModelNoteBuraxılış ili2020Ban növüHetçbek, 5 qapıRəngQırmızıMühərrik1.2 L / 116 a.g. / HibridYürüş34 000 kmSürətlər qutusuReduktorÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxu●Mühərrik gücü-1200●Mühərrikin at gücü-116●Mühərrikin tork gücü-280●Silindir sayı-3●Şəhər daxili-3.6●Qarışıq rejmdə-3.5 L●Şəhər kənarı- 3.2L●Açarsız daxil olma (Keylesentry)●Açarsız işə salma (start/stop)●Multi rul •Mode Drive ( eco/comfort/sport)●Yan güzgülərin qatlanması●AUTO OFF sistemi●Klimat kondisioner●360 derece kamera●Dəri və parça oturacaqlar●AUX●Ön və arxa park radar sistemi●Ön fara ışıqlarının tənzimlənməsi●Ön avtomobilə məsafə saxlama (distronik)●Zolaq tanıma●Sürüşmə əleyhinə funksiya (antizanos)●-----------------------------------------------------Ünvan -- Bakı şeh Binəqədi rayonu 22-ci Dağlıq küçesi●-----------------------------------------------------Ilkin odenis minimum 5500 azn olmaq şərti ilə 36 aya qədər Sizlerə Bank Krediti ( kasko siğorta ve Bank xerci daxil illik 13% olmaqla ) təklif edirikAyliq ödənişdər Bank Mutəxəssisi tərəfindən deyiləcək sizlərə !!sənədləşdirmə 1 saat ərzində olunur (Baki və Rayon Qeydiyyatinda olan Şəxslərə Tek Şəxsiyyət vəsiqəsi ilə kredit Mümkündür)●-----------------------------------------------------Avtomobillər Bizim AvtoExpressBaku AvtosalonuTərəfindən Müşdərilərə Rəsmi Qarantiya ilə SizlərəTəqdim edirik. ( Qarantiya Daxilində Mator.Karobka.Rulavoy.Elektoronika.xadavoyun bezi hissələri Qarantiyamüqaviləsində qeyd olunub ) - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9254647",●Mühərrik gücü-1200●Mühərrikin at gücü-116●Mühərrikin tork gücü-280●Silindir sayı-3●Şəhər daxili-3.6●Qarışıq rejmdə-3.5 L●Şəhər kənarı- 3.2L●Açarsız daxil olma (Keylesentry)●Açarsız işə salma (start/stop)●Multi rul •Mode Drive ( eco/comfort/sport)●Yan güzgülərin qatlanması●AUTO OFF sistemi●Klimat kondisioner●360 derece kamera●Dəri və parça oturacaqlar●AUX●Ön və arxa park radar sistemi●Ön fara ışıqlarının tənzimlənməsi●Ön avtomobilə məsafə saxlama (distronik)●Zolaq tanıma●Sürüşmə əleyhinə funksiya (antizanos)●-----------------------------------------------------Ünvan -- Bakı şeh Binəqədi rayonu 22-ci Dağlıq küçesi●-----------------------------------------------------Ilkin odenis minimum 5500 azn olmaq şərti ilə 36 aya qədər Sizlerə Bank Krediti ( kasko siğorta ve Bank xerci daxil illik 13% olmaqla ) təklif edirikAyliq ödənişdər Bank Mutəxəssisi tərəfindən deyiləcək sizlərə !!sənədləşdirmə 1 saat ərzində olunur (Baki və Rayon Qeydiyyatinda olan Şəxslərə Tek Şəxsiyyət vəsiqəsi ilə kredit Mümkündür)●-----------------------------------------------------Avtomobillər Bizim AvtoExpressBaku AvtosalonuTərəfindən Müşdərilərə Rəsmi Qarantiya ilə SizlərəTəqdim edirik. ( Qarantiya Daxilində Mator.Karobka.Rulavoy.Elektoronika.xadavoyun bezi hissələri Qarantiyamüqaviləsində qeyd olunub ),Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerDəri salonKsenon lampalarArxa görüntü kamerası,18 400 AZN
"Land Rover Range Rover,3.0 L,2023 il,4 800 km","ŞəhərBakıMarkaLand RoverModelRange RoverBuraxılış ili2023Ban növüOffroader / SUV, 5 qapıRəngQaraMühərrik3.0 L / 400 a.g. / BenzinYürüş4 800 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuRange Rover Autobiography P400. Təmiz 2023cu ildi.Servisdən alınıb və 5 il qarantiyadadır. Bütün maşın qoruyucu PPF lə üzlənib.heçBir vuruğu əziyi , rəng dəyən detalı yoxur. 3-cü maşın kimi istifadə olunub və qaraj şəraitində saxlanılıb. Barter təklif eləməyin. Qiymət yalnız avtomobilin yanında danışıla bilər. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9406382","Range Rover Autobiography P400. Təmiz 2023cu ildi.Servisdən alınıb və 5 il qarantiyadadır. Bütün maşın qoruyucu PPF lə üzlənib.heçBir vuruğu əziyi , rəng dəyən detalı yoxur. 3-cü maşın kimi istifadə olunub və qaraj şəraitində saxlanılıb. Barter təklif eləməyin. Qiymət yalnız avtomobilin yanında danışıla bilər.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,189 000 USD
"Chevrolet Malibu,1.5 L,2019 il,54 314 km","ŞəhərBakıMarkaChevroletModelMalibuBuraxılış ili2019Ban növüSedanRəngQaraMühərrik1.5 L / 160 a.g. / BenzinYürüş54 314 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuAirbag açmayıb,Böyük kazası yoxdur.Ancag 95 benzinMotor yağı ancag lıquı moly (senedli)Heç bir problemi yoxdur istenilen yerde yoxlatabilersizVın 2020 - Düzəliş etElanı silElanın nömrəsi: 9415544","Airbag açmayıb,Böyük kazası yoxdur.Ancag 95 benzinMotor yağı ancag lıquı moly (senedli)Heç bir problemi yoxdur istenilen yerde yoxlatabilersizVın 2020",,21 500 AZN
"Porsche Panamera GTS,4.0 L,2024 il,2 414 km","ŞəhərBakıMarkaPorscheModelPanamera GTSBuraxılış ili2024Ban növüLiftbekRəngBozMühərrik4.0 L / 480 a.g. / BenzinYürüş2 414 kmSürətlər qutusuRobotÖtürücüTamYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuBezkraskadır Polnu Full Komplektasiyadır2024 ci il resmi dillerden alınıb - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9466846",Bezkraskadır Polnu Full Komplektasiyadır2024 ci il resmi dillerden alınıb,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,185 500 USD
"Porsche Panamera,3.0 L,2018 il,130 000 km","ŞəhərBakıMarkaPorscheModelPanameraBuraxılış ili2018Ban növüLiftbekRəngYaş AsfaltMühərrik3.0 L / 330 a.g. / BenzinYürüş130 000 kmSürətlər qutusuRobotÖtürücüArxaYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Davamını oxuAvtomobil şəxsi istifadədə olub və çox səliqəli şəkildə idarə edilib. Bütün texniki baxışlar və detalları vaxtında dəyişdirilib, hal-hazırda heç bir texniki və ya mexaniki problemi yoxdur. Hər zaman servis baxımlı olub və ehtiyat hissələri orijinal ilə əvəzlənib.✅ Texniki vəziyyəti əladır✅ Heç bir xərc tələb etmir✅ Al və sür!Çox dözümlü və rahat maşındırƏlavə məlumat və baxış üçün əlaqə saxlaya bilərsiniz. - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9393176","Avtomobil şəxsi istifadədə olub və çox səliqəli şəkildə idarə edilib. Bütün texniki baxışlar və detalları vaxtında dəyişdirilib, hal-hazırda heç bir texniki və ya mexaniki problemi yoxdur. Hər zaman servis baxımlı olub və ehtiyat hissələri orijinal ilə əvəzlənib.✅ Texniki vəziyyəti əladır✅ Heç bir xərc tələb etmir✅ Al və sür!Çox dözümlü və rahat maşındırƏlavə məlumat və baxış üçün əlaqə saxlaya bilərsiniz.",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,58 000 USD
"Skoda Octavia,1.5 L,2024 il,2 700 km","ŞəhərBakıMarkaSkodaModelOctaviaBuraxılış ili2024Ban növüLiftbekRəngBozMühərrik1.5 L / 150 a.g. / BenzinYürüş2 700 kmSürətlər qutusuRobotÖtürücüÖnYeniXeyrYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuHazır Lizinq.!1.5HİBRİD-(Şeherde 7litr,trasda 3litr yanacaq serf edir).Maşın ideal veziyyetdedir.Bez kraska.Full Variant.Resmi servisde Qarantiyadadir.Probeq-(2.700km).--//--//--İlkin ödeniş-(3950AZN).Banka-(57ay-1380AZN). (Növbeti ödeniş 9Avqustda olacaq).Alan şexsin resmi ve ya qeyri resmi geliri olmalıdır bankda müqavileni öz adına resmileşdirilmesi üçün.(Muqavile xerci 200m). - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası - Düzəliş etElanı silElanın nömrəsi: 9472043","Hazır Lizinq.!1.5HİBRİD-(Şeherde 7litr,trasda 3litr yanacaq serf edir).Maşın ideal veziyyetdedir.Bez kraska.Full Variant.Resmi servisde Qarantiyadadir.Probeq-(2.700km).--//--//--İlkin ödeniş-(3950AZN).Banka-(57ay-1380AZN). (Növbeti ödeniş 9Avqustda olacaq).Alan şexsin resmi ve ya qeyri resmi geliri olmalıdır bankda müqavileni öz adına resmileşdirilmesi üçün.(Muqavile xerci 200m).",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalarArxa görüntü kamerası,48 000 USD
"Hyundai Elantra,2.0 L,2019 il,116 000 km","ŞəhərBakıMarkaHyundaiModelElantraBuraxılış ili2019Ban növüSedanRəngAğMühərrik2.0 L / 150 a.g. / BenzinYürüş116 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuAvtomobil ölkəyə yeni gəlib.Vin kod :5NPD84LF4KH466344Heç bir Airbaglari açılmayıb.Bütün xərcləri qarşılanılıb.Tam ideal vəziyyətdədir.Heç bir xərc tələb olunmur.Sag krlo zedesi ile gelib.Sadə 2.0 Dohc mator, sadə karopka.Mator, Karopka Elektronika və Xadavoy ideal vəziyyətdədir.Alici istədiyi yerdə yoxlatdıra bilər.Andriod böyük monitor Car play qowulub.Bluetooth .Zolağa nəzarət ( Xətdən çıxanda xəbərdalıq və maneyə çatan zaman xəbərdarlıq )Ölü zona yan güzgülərdəArxa görüntü kameraCruise control Avto pilot )Drive mode ( Sürüş rejmi )Comfot rejim, Smart rejim, Sport rejimŞəhər içi 8 lt, trasda 4-5 It yanacaq sərfiyyatı (Ai92) - Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr - Düzəliş etElanı silElanın nömrəsi: 9471876","Avtomobil ölkəyə yeni gəlib.Vin kod :5NPD84LF4KH466344Heç bir Airbaglari açılmayıb.Bütün xərcləri qarşılanılıb.Tam ideal vəziyyətdədir.Heç bir xərc tələb olunmur.Sag krlo zedesi ile gelib.Sadə 2.0 Dohc mator, sadə karopka.Mator, Karopka Elektronika və Xadavoy ideal vəziyyətdədir.Alici istədiyi yerdə yoxlatdıra bilər.Andriod böyük monitor Car play qowulub.Bluetooth .Zolağa nəzarət ( Xətdən çıxanda xəbərdalıq və maneyə çatan zaman xəbərdarlıq )Ölü zona yan güzgülərdəArxa görüntü kameraCruise control Avto pilot )Drive mode ( Sürüş rejmi )Comfot rejim, Smart rejim, Sport rejimŞəhər içi 8 lt, trasda 4-5 It yanacaq sərfiyyatı (Ai92)",Yüngül lehimli disklərABSYağış sensoruMərkəzi qapanmaPark radarıKondisionerKsenon lampalarArxa görüntü kamerasıYan pərdələr,24 900 AZN
"Land Rover RR Sport,3.0 L,2019 il,21 000 km","ŞəhərBakıMarkaLand RoverModelRR SportBuraxılış ili2019Ban növüOffroader / SUV, 5 qapıRəngYaş AsfaltMühərrik3.0 L / 340 a.g. / BenzinYürüş21 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər0VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuAvtomobil ideal vəziyyətdədirRəsmi servisdə qulluq olunub360 dərəcə ətraf görüntü kamerasıMeridian musiqi səs sistemiPanoramik damÖn oturacaqlarda yaddaş paketiÖn və arxa oturacaqların isidilməsiHündürlüyə görə baqajdan tənzimlənməsiDistronik - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9399729",Avtomobil ideal vəziyyətdədirRəsmi servisdə qulluq olunub360 dərəcə ətraf görüntü kamerasıMeridian musiqi səs sistemiPanoramik damÖn oturacaqlarda yaddaş paketiÖn və arxa oturacaqların isidilməsiHündürlüyə görə baqajdan tənzimlənməsiDistronik,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıOturacaqların ventilyasiyası,62 000 USD
"Toyota Corolla Fielder,1.5 L,2019 il,83 000 km","ŞəhərBakıMarkaToyotaModelCorolla FielderBuraxılış ili2019Ban növüUniversal, 5 qapıRəngAğMühərrik1.5 L / 74 a.g. / HibridYürüş83 000 kmSürətlər qutusuVariatorÖtürücüÖnYeniXeyrVəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbYaponiya - Davamını oxuÖlkəyə yeni gəlib ideal vəziyyətdədir, bezkraskadı harda istəsəniz yoxlada bilərsiz. Avtopilot, original probeq, original şit - Yağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalar - Düzəliş etElanı silElanın nömrəsi: 9445051","Ölkəyə yeni gəlib ideal vəziyyətdədir, bezkraskadı harda istəsəniz yoxlada bilərsiz. Avtopilot, original probeq, original şit",Yağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiKsenon lampalar,22 500 AZN
"Mercedes GLE 53 AMG 4MATIC Coupe,3.0 L,2021 il,62 000 km","ŞəhərBakıMarkaMercedesModelGLE 53 AMG 4MATIC CoupeBuraxılış ili2021Ban növüSUV KupeRəngQaraMühərrik3.0 L / 435 a.g. / BenzinYürüş62 000 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbRəsmi diler - Davamını oxuMashin resmi dillerden alinib, Hec bir detalina reng deymeyib. Aparib harda isteyirsiz yoxlada bilersiz ne xerci cixsa 2 qat pulun cixacam!! - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9427059","Mashin resmi dillerden alinib, Hec bir detalina reng deymeyib. Aparib harda isteyirsiz yoxlada bilersiz ne xerci cixsa 2 qat pulun cixacam!!",Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,89 900 USD
"Kia Forte,2.0 L,2018 il,91 000 km","ŞəhərBakıMarkaKiaModelForteBuraxılış ili2018Ban növüSedanRəngGöyMühərrik2.0 L / 166 a.g. / BenzinYürüş91 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuMasin Ölkeye yeni gelib heç bir prablemi yoxdur.Öz adımadı ilk sahibiyem. Harda isdeseniz yoxladdıra bilersiniz.Kiredit veya lizinq kömeklik ederem. - Düzəliş etElanı silElanın nömrəsi: 9459757",Masin Ölkeye yeni gelib heç bir prablemi yoxdur.Öz adımadı ilk sahibiyem. Harda isdeseniz yoxladdıra bilersiniz.Kiredit veya lizinq kömeklik ederem.,,21 800 AZN
"Ford Transit,3.2 L,2010 il,147 000 km","ŞəhərBakıMarkaFordModelTransitBuraxılış ili2010Ban növüFurqonRəngAğMühərrik3.2 L / 200 a.g. / DizelYürüş147 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrYerlərin sayı2VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuYeni qelib. Uzunluqu 3.30.TREND. Qosha ressor.Satishda bashka modellerde var.Satish edv daxil mumkundur.Unvan: Nefciler, Bakcell arena. - Yüngül lehimli disklərABSMərkəzi qapanmaKondisioner - Düzəliş etElanı silElanın nömrəsi: 9389363","Yeni qelib. Uzunluqu 3.30.TREND. Qosha ressor.Satishda bashka modellerde var.Satish edv daxil mumkundur.Unvan: Nefciler, Bakcell arena.",Yüngül lehimli disklərABSMərkəzi qapanmaKondisioner,33 400 AZN
"Ford Fusion (North America),2.0 L,2014 il,251 000 km","ŞəhərBakıMarkaFordModelFusion (North America)Buraxılış ili2014Ban növüSedanRəngQaraMühərrik2.0 L / 240 a.g. / BenzinYürüş251 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAmerika - Davamını oxuMaşın təmiz vəziyyətdədir heç bir problemi yoxdur. Noramla telefonla əlaqə saxlamaq mümkün deyilsə Whatsappla zəng edin. - Yüngül lehimli disklərABSLyukMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonArxa görüntü kamerasıOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 8823409",Maşın təmiz vəziyyətdədir heç bir problemi yoxdur. Noramla telefonla əlaqə saxlamaq mümkün deyilsə Whatsappla zəng edin.,Yüngül lehimli disklərABSLyukMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonArxa görüntü kamerasıOturacaqların ventilyasiyası,16 000 AZN
"Kia Sorento,2.0 L,2015 il,165 000 km","ŞəhərBakıMarkaKiaModelSorentoBuraxılış ili2015Ban növüOffroader / SUV, 5 qapıRəngYaş AsfaltMühərrik2.0 L / 184 a.g. / DizelYürüş165 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib - Davamını oxuSalam aleykum. Kia sorento Nobless!Avtomobil ideal veziyyetdedir!Mator karopka ideal!165000 km orjinall probeq!Deyisen detal vurug 100% yoxdur!Karopka mator yaglari yeni deyişib!Masinin usdu ve ici temiz ela veziyyetdedir!Butun rasxodnikler yenilenib bir sozle tam sazz masindir! - Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası - Düzəliş etElanı silElanın nömrəsi: 9486741",Salam aleykum. Kia sorento Nobless!Avtomobil ideal veziyyetdedir!Mator karopka ideal!165000 km orjinall probeq!Deyisen detal vurug 100% yoxdur!Karopka mator yaglari yeni deyişib!Masinin usdu ve ici temiz ela veziyyetdedir!Butun rasxodnikler yenilenib bir sozle tam sazz masindir!,Yüngül lehimli disklərABSLyukYağış sensoruMərkəzi qapanmaPark radarıKondisionerOturacaqların isidilməsiDəri salonKsenon lampalarArxa görüntü kamerasıYan pərdələrOturacaqların ventilyasiyası,32 600 AZN
"Mercedes Sprinter 313,2.2 L,2001 il,450 000 km","ŞəhərBakıMarkaMercedesModelSprinter 313Buraxılış ili2001Ban növüFurqonRəngAğMühərrik2.2 L / 122 a.g. / DizelYürüş450 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrYerlərin sayı3Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyibHansı bazar üçün yığılıbAvropa - Mərkəzi qapanma - Düzəliş etElanı silElanın nömrəsi: 9278698",,Mərkəzi qapanma,19 000 AZN
